1,Accesorios personales
2,Bolsa y textiles
3,Escritura
4,Oficina
5,Viajes
6,"Bebidas, Vinos y Licores"
7,Electronicos
8,"Maletas, Mochilas y Hieleras"
9,USB
10,Relojes
11,Salud y cuidado personal
12,Tecnologia
13,Herramientas
14,Carpetas y Calendarios
15,Autos
16,"Tazas, vasos y copas"
17,Hogar y Cocina
18,Ropa
19,Entretenimiento
21,Audio
22,Llaveros
23,Sombrillas y Paraguas
24,Antiestres
25,"Tarros, Envases,Termos y Cilindros"
26,Estuches y Fundas
27,Gorras y Sombreros
28,Libretas y Cuadernos
29,Porta retratos
30,Relojes
31,Ninos
33,Mascotas
34,Ecologicos
35,Deportes
