1,plumas,http://3abranding.com.mx/uploads/items/00318992632762bddd8b206b6471b710.jpg,ESTUCHE METALICO PARA USB SIN VENTANA,125
2,mochila,http://3abranding.com.mx/uploads/items/00318cb5722ad7cb1950.jpg,ESTUCHE DE PLASTICO PARA USB,126
3,libretas,http://3abranding.com.mx/uploads/items/00325c4d1aa1f1303b6565b89ae171f9.jpg,ESTUCHE METALICO PARA USB CON VENTANA,127
4,tazas,http://3abranding.com.mx/uploads/items/00326d086d6283c65e022c929b28360c.jpg,ESTUCHE ENVOLVENTE BLANCO,128
5,termos,http://3abranding.com.mx/uploads/items/0035c7b110260fde38a0.gif,ESTUCHE METALICO JUMBO PARA USB SIN VENTANA,129
6,botellas,http://3abranding.com.mx/uploads/items/00379607cd7455c5e3cd.jpg,ESTUCHE METALICO PARA USB SIN VENTANA,130
7,balones,http://3abranding.com.mx/uploads/items/003c439ff84ceea854c5c0b3a432303d.jpg,ESTUCHE DE PLASTICO PARA USB,131
8,tarros,http://3abranding.com.mx/uploads/items/003ea6fe0a89531cdfe47ae4118a36a0.jpg,ESTUCHE METALICO PARA USB CON VENTANA,132
9,pelotas,http://3abranding.com.mx/uploads/items/004053176b2a85d4564c43edda2143cb.jpg,ESTUCHE ENVOLVENTE BLANCO,133
10,llavero,http://3abranding.com.mx/uploads/items/004874eba806e4b5b07e0c02310595ff.jpg,ESTUCHE METALICO JUMBO PARA USB SIN VENTANA,134
